RK,NAME,POS,PTS,REB,AST,BLK,STL,3PM,TO,DD2,TD3
1,James Harden,PG,2335,446,512,60,125,299,308,22,4
2,Giannis Antetokounmpo,PF,1857,856,354,66,61,89,230,56,4
3,LeBron James,SF,1698,525,684,36,78,148,261,46,13
4,Luka Doncic,PG,1759,573,538,14,62,171,260,39,17
5,Nikola Jokic,C,1456,711,512,44,85,80,226,43,13
6,Damian Lillard,PG,1978,284,530,22,70,270,194,19,1
7,Anthony Davis,PF,1618,577,200,143,91,72,154,29,0
8,Trae Young,PG,1778,254,560,8,65,205,289,28,2
9,Devin Booker,SG,1863,297,456,18,49,141,264,11,0
10,Bam Adebayo,C,1146,735,368,93,82,2,204,40,3
11,Russell Westbrook,PG,1553,451,401,20,93,55,255,22,8
12,Kawhi Leonard,SF,1543,402,280,33,103,123,149,13,1
13,Hassan Whiteside,C,1040,905,78,196,26,4,120,51,0
14,Bradley Beal,SG,1741,242,347,23,71,170,194,8,0
15,Jayson Tatum,SF,1547,460,200,57,93,189,155,10,0
16,DeMar DeRozan,SG,1504,375,379,20,70,9,164,7,0
17,Domantas Sabonis,C,1147,771,310,30,47,17,170,50,4
18,Rudy Gobert,C,1026,916,101,134,51,0,130,49,0
19,Andre Drummond,C,1010,864,152,93,109,5,203,47,0
20,Nikola Vucevic,C,1215,672,222,47,54,98,88,41,0
21,Donovan Mitchell,SG,1655,304,294,14,70,173,184,1,0
22,C.J. McCollum,SG,1556,297,310,42,54,194,127,4,0
23,Chris Paul,PG,1232,349,472,11,111,111,161,10,0
24,Tobias Harris,SF,1410,495,227,40,53,131,104,11,0
25,Brandon Ingram,SF,1477,380,259,38,61,150,189,9,0
26,Shai Gilgeous-Alexander,SG,1331,412,232,47,79,87,134,9,1
27,Pascal Siakam,PF,1371,439,207,53,61,131,148,12,0
28,Jimmy Butler,SG,1157,386,350,32,103,29,127,11,3
29,Zach LaVine,PG,1530,289,254,28,88,184,206,2,0
30,Jonas Valanciunas,C,1044,788,131,77,30,32,127,39,1
31,Ben Simmons,PG,937,444,455,33,119,2,200,31,6
32,Julius Randle,PF,1248,622,198,22,51,64,193,30,0
33,Jrue Holiday,PG,1167,293,408,48,99,122,184,10,1
34,Kristaps Porzingis,PF,1164,540,102,115,41,142,92,25,0
35,Spencer Dinwiddie,PG,1318,221,432,21,40,123,174,9,0
36,Joel Embiid,C,1173,593,152,65,45,57,159,37,0
37,JA Morant,PG,1193,259,488,18,58,60,220,15,2
38,Kyle Lowry,PG,1126,292,433,26,82,164,178,15,2
39,Khris Middleton,SF,1297,382,265,7,53,147,137,7,0
40,Ricky Rubio,PG,847,304,570,11,94,78,173,22,2
41,Buddy Hield,SG,1382,328,213,17,66,271,168,2,0
42,Devonte' Graham,PG,1145,212,471,15,62,218,181,17,0
43,Montrezl Harrell,PF,1173,446,107,72,39,0,108,12,0
44,T.J. Warren,SF,1326,280,99,34,78,91,84,2,0
45,Jarrett Allen,C,775,671,110,92,40,0,77,30,0
46,Lonzo Ball,PG,745,383,438,38,88,148,193,12,3
47,Lou Williams,SG,1185,201,365,12,44,111,182,2,0
48,Al Horford,PF,798,456,270,61,52,99,80,6,0
49,Aaron Gordon,PF,894,475,228,39,51,73,100,20,1
50,Kevin Love,PF,987,547,178,19,33,146,140,23,0
51,De'Aaron Fox,PG,1077,196,348,25,74,54,158,9,0
52,Robert Covington,SF,870,463,88,94,114,161,103,7,0
53,Collin Sexton,PG,1349,204,192,7,65,97,158,0,0
54,Andrew Wiggins,SF,1175,274,198,53,45,111,132,4,1
55,Dennis Schroder,PG,1229,236,262,14,45,125,166,0,0
56,Terry Rozier,PG,1134,276,259,10,61,172,141,2,0
57,Fred Vanvleet,PG,952,203,357,17,100,146,121,8,0
58,Kemba Walker,PG,1145,217,268,28,48,180,117,2,0
59,Jamal Murray,PG,1091,236,284,17,67,112,127,3,0
60,LaMarcus Aldridge,PF,1001,392,129,87,36,61,74,14,0
61,Jaylen Brown,SG,1159,364,118,20,65,129,125,8,0
62,Nemanja Bjelica,PF,831,458,203,40,62,134,99,10,0
63,Evan Fournier,SF,1221,171,209,15,71,173,125,0,0
64,Markelle Fultz,PG,870,238,369,11,90,36,147,4,1
65,Eric Bledsoe,PG,911,283,328,26,57,74,148,2,0
